,occ_llm
3256,handelbokh.
3319,arb.-forman
3513,impressarie
3511,f. d. distr
3139,kyrkokamrer
3371,stadslakare
473,desinfektor
421,riksantikv.
151,hamnbefalh.
158,postbetjant
3153,kanslisekr.
117,fabr.-bokh.
3176,k. kam.-mus
3125,hovrattsrad
258,trav.-agent
688,socialsekr.
3521,gymn.-lar:a
2966,handelsd.r.
2839,byggn.-ing.
2840,fabriksidk.
698,slipmastare
160,instr.-arb.
579,magas.-karl
3071,linjebyggm.
3010,guldvafvare
115,apot.-drang
43,bergsprang.
19,mosaiklagg.
233,mant.-komm.
3050,Friherrinna
151,boktr.-chef
69,varfskassor
229,maskinupps.
240,traddragare
242,utmatn.-man
693,chokladarb.
3439,charkut.-id
3335,marinlakare
2921,kr.-lansman
3039,tapetserare
3105,generaldir.
3154,stadsfiskal
232,underverkm.
601,timmermark.
3177,kapellpred.
2958,telegr.-tjm
3470,byggn..ing.
158,ofverforman
619,programchef
57,fabriksskr.
269,vaxtforadl.
3420,f. forvalt.
625,krigskamrer
629,gjuterichef
134,stuveriarb.
3400,patentombud
630,agenturchef
3460,e. lansbokh
153,pannrensare
2851,fors.-insp.
192,e. O. laro-
3469,karantansm.
3167,f. kyrkvard
3436,konsthandl.
3383,landtmatare
3212,hotellidk:a
577,lotslarling
3120,handeldidk.
172,jainhyflare
463,stuterivet.
3123,1:e landtm.
267,afd.-forest
640,valsv.-ing.
3104,skeppsforv.
149,jarnsvarfv.
444,akeriforman
3189,banktj.-man
709,boktr.-dir.
478,ex.-betjant
3394,dek.-malare
3403,barb.-mast.
3388,destillator
3405,distr.-lak.
3459,landsfiskal
3425,kam. o. kap
3410,kaptensanka
3377,f.d. godsag
266,verkstadsag
236,varfskontr.
271,rustmastare
499,parfymhandl
3277,stenhuggeri
3389,oversattare
3390,"ing., prof."
225,antikhandt.
3304,"d.eg.-skr."
3305,slakteridk.
477,mont.-insp.
3427,svardfejare
3412,kotthandl:a
209,brukskassor
211,hofr.-komm.
3233,varumaklare
11,teckn.-led.
3450,gastgifvare
3345,bokb.-mast.
3424,kronolansm.
3442,stadsmalkl.
90,lok.-forman
3464,rantmastare
184,postassist.
110,ofverskot:a
3437,1:ste postv
3438,guldslagare
3308,kallarmast.
202,frisormast.
3317,matematiker
3238,e byra-chef
3446,standarinna
181,konstidkare
3318,ryttmastare
3205,f. d. stats
276,lagenh.-ag.
3404,maskininsp.
106,yrkeslarare
456,bibl.-aman.
3267,krigsfiskal
251,sparb.-dir.
252,ofvergjutm.
107,garveriarb.
3237,kronojagare
3284,skriflarare
308,butiksbitr.
3445,rakkn.-fabr
210,stilgjutare
136,rornatsing.
171,mantalsskr.
89,ovningslar.
3278,stadskemist
3310,verkst. dir
3350,angb.-befal
3258,lasarettssy
3465,metallfabr.
3262,skogsfaktor
306,sangpedagog
247,ofversangl.
3217,angbatsfor.
3266,domanfiskal
153,pens.-lar:a
216,kommunalarb
3307,verkmastare
223,droskbilag.
3227,grosshandel
3298,angf.-befal
3352,seminariel.
3386,regem.-lak.
3479,f. d. under
3416,ofververkm.
3382,gen.:konsul
3344,understath.
3259,fanerhandl.
513,maskinhandl
150,kamrersass.
151,kranskotare
3291,distr.-chef
3292,advokaiskal
176,sotarverkm.
3488,pastorsadj.
3397,afdln.-chef
3398,handelsidk.
228,distributor
229,kafeforst:a
429,driftverkm.
3314,boktryckeri
292,bag.-verkm.
347,sparvagnsf.
3363,handeisres.
3325,Tapetserare
3433,grosshandl.
377,slakteriag.
269,varmemontor
278,exp.-forman
3330,stenh.-fabr
357,stuverichef
282,vardebrevb.
3274,postmastare
3269,konst.ukt3r
509,skrothand!.
277,gjuteriing.
289,mal.-forman
3369,ekonomidir.
14,frisorbitr.
310,folkskol1;a
3222,bokf.-lagg.
3275,sjukhuslak.
3289,prakt. lak.
3280,sagv.-agare
3281,forestand:a
220,pianomakare
3276,skadespel:a
183,underkirurg
3290,bokforerska
3391,bokbindarm.
3323,registrator
3236,grosshandi.
3368,vekst. dir.
77,mal.-idkare
445,dratseldir.
3392,mobelhandi.
3362,hyrverksag.
3378,konstruktor
3347,fastih.-ag.
3311,assuransdir
3306,borsmaklare
561,bondedotter
95,ofversatt:a
356,automobilag
377,radiomontor
384,trasvarvare
394,bilforsalj.
3336,reg.-lakare
3239,gulddragare
327,polislojtn.
3414,entreprenor
3309,f. d. gross
3225,hande'sidk.
3198,tryckeriag.
3199,handelsres.
433,drageriarb.
3380,affarsbitr.
234,kontorselev
3339,husforest:a
103,hjalpsyster
516,kvarnforest
3270,skyltmalare
3271,larov -adj.
3294,hattmakarm.
71,kladesmakl.
3216,bitr. sekr.
3326,folkskolel.
3411,riksb.-tjm.
309,akad.-sekr.
3375,mantalskomm
430,tvatteriag.
3341,slojdhandl.
3263,hofr.-sekr.
571,traf-bilag.
3329,industridk.
3283,1:ste bokh.
453,elem.-lar:a
3300,forradsint.
3301,komm.-kapt.
3248,angbatsbef.
2939,V. kon- sul
3286,landskamrer
3374,sagverkskam
3337,e. landtmat
3261,chefslakare
3293,larov.-adi.
3340,tidningsman
3360,uppb.-insp.
569,smid.-mast.
3354,skeppsmakl.
3295,konservator
37,maskinsatt.
2926,sladskassor
3226,byggmastare
467,akad.-bokh.
406,gransuppsyn
439,arbetsinsp.
3355,forste ing.
3321,mobelhandl.
3231,jarnv.-lak.
3296,f.d. ofverk
485,mejeriidk:a
3343,bagerifirma
3395,angbatsred.
3361,laderhandl.
22,rorarbetare
3316,fabr.-disp.
3331,lagermester
3268,vikt-handl.
3302,skototilman
3279,skeppsstufv
459,vagnputsare
2969,masklninsp.
472,stiftssekr.
3364,Kontorschef
3312,grosshand!.
3327,hemm.-agare
3342,f. domanint
321,olforsalj:a
12,marinlamare
2942,jordbrukare
3328,fondmaklare
562,sagv.-disp.
3174,ofverkonst.
3175,maskinaffar
3229,reg.-pastor
454,byggnadsarb
3351,telegrafdir
3288,boktr.-idk.
3191,generalmaj.
3349,larov.-adj.
3381,fastigh.-m.
3338,sem.-larare
3043,bigr.-agare
3373,smidesfabr.
2882,domhafvande
3179,prakt. lak:
411,packh.-karl
7,teateragent
3332,t. f. gener
3413,kontorsskr.
3333,folkskoll:a
3214,underlojtn.
504,hembagerska
468,bibi.-aman.
3320,telergafing
568,mobelverkm.
799,landsfiskat
3041,landskamrat
3011,ofv.-lojtn.
3356,handelschef
3135,f.d. konsul
185,forradsvakt
3346,forste reg.
511,gasverksing
516,varvsforman
544,vapenhantv.
548,garveridir.
2964,leksakshand
2844,korrespond.
3303,utn. kyrkoh
632,sjukvikarie
3257,akad.-fogde
3255,V. haradsh.
2931,skolyngling
2949,sparbanksk.
2991,mjolkhandl.
341,metallgjut.
3009,handelslar.
3282,skeppsklar.
3103,kont.-prost
3201,jarnvagsdir
3254,e. jagmast.
2973,ex. landtm.
3028,f.d. grossh
44,vattenfabr.
3315,distriktsl.
3002,kemikalieh.
638,overskotare
639,egend.-makl
645,overassist.
2860,kanslisckr.
3232,musiklarare
3016,f. kallarm.
3015,sekreterare
2995,flaskhandl.
591,traf.-insp.
597,asfaltlagg.
607,div.-handl.
3334,verkst dir.
40,hamnbetjant
2858,bokbind.-m.
237,underv.-rad
3224,hoftandlak.
718,sterotypist
3023,konsulatrad
3012,ofveriararé
284,kopingslak.
367,handelsexp.
727,lyktskotare
3245,bagerifabr.
3031,aukt.-forr.
3251,of-volontar
3059,skofabrikor
674,jagmastaren
2911,konst.uktor
3053,maskinmont.
18,metallograf
3287,kommerserad
3322,larov.-lar.
503,bagenibitr.
629,handl.-res.
719,pianosnick.
720,gipsgjutare
725,hamnroddare
338,fabr.-agare
347,matningsing
646,ordboksred.
412,mobelsnick.
3253,kapellmast.
3265,hosp.-syssl
3000,konstmalare
2998,tillskarare
2861,lansagronom
307,hand.-bitr.
3242,opersangare
827,sped.-form.
829,trafikbilag
783,salsmastare
2917,fiskeriint.
368,skattetorp.
3249,stationsing
3297,forestandar
882,gymn.-insp.
3264,ofverkontr.
392,stat.-mast.
750,karusellag.
755,jarnvagsarb
757,vattenbatf.
2863,intendenter
2994,operasang:a
2880,boktr.-fakt
3045,antikvariat
3197,v. haradsh.
578,det.-konst.
3230,kammarskrif
3228,e. lansnot.
852,spinnforman
878,radh.-vaktm
3299,generamajor
746,barnavardsm
2983,haradshofd.
2997,gen.-konsul
3252,handskfabr.
489,signalinsp.
845,kanalbyggm.
2859,und.-lojtn.
3091,med. doktor
3033,akerbrukare
2886,1:e revisor
2986,f.d.jagmast
847,sportjourn.
848,textiltekn.
2948,fors.-agent
376,exp.-vaktm.
2855,dentaldepot
3141,akeriidkare
3090,bag.-idkare
374,valssvarfv.
3260,gjutmastare
2987,bergmastare
2985,aukt.-komm.
70,stadionchef
816,beredn.-arb
2924,brandlojtn.
3007,lasarettsl.
2954,borgm.-anka
3049,husagarinna
736,instr.-smed
510,lag.-inneh.
3215,omm.-kapten
417,mob.-handl.
3022,málaremast.
813,magasinsarb
814,lumpsamlare
385,slakt-bitr.
3038,slottsfogde
765,kabelmontor
3244,boktryckare
2978,handels- O.
234,annonsombud
921,stenslipare
2990,installator
299,glasblasare
559,maskinfogde
3087,skeppshandl
3068,pov.-lakare
1012,dratselnot.
131,ofverpostm.
2857,bat.-jakare
3054,brandkapten
3055,tradgardsm.
2930,byraassist.
456,martviform.
296,stud.-rekt.
2953,distr.-ing.
843,sparv.-for.
320,travaruexp.
3026,restaurator
2883,teol. prof.
2989,foltn.-chef
500,hemmansag:e
3034,angbatsexp.
377,forlagschef
677,akdonsfabr.
3206,kassakontr.
3005,rusthallare
3093,kungl. sekr
2999,fartygsinsp
2974,bat.-lakare
3496,telefondir.
914,varuhuschef
259,tullupps:m.
260,travarutjm.
3200,bankrevisor
3089,f. d. gener
3008,reg. pastor
2918,statsgeolog
370,finanssekr.
3106,domkyrkoark
208,glasslipare
3080,distr.-vet.
427,brygg.-idk.
145,lit. tryck.
3129,schaktmast.
136,husgeradsm.
904,renh.-form.
290,gasv.-bokh.
201,ekonomichef
973,boktr.-tjm.
978,spetshandl.
986,maskinfors.
3078,fil. doktor
2951,hotellagare
162,sparb.-tjm.
317,malarforman
3024,faltskarsm.
938,radhusvaktm
947,rontgenlak.
826,sektionsing
3518,salteriidk.
337,diversearb.
281,fiskeriass.
1024,bilfabrikor
148,krim.-komm.
503,jarnvagsman
3084,f. d. kopm.
2960,f. d. medic
455,ordningsman
75,linjeforman
1000,ladsnickare
2916,teckn. lar.
240,tel.-kontr.
3092,filhuggarm.
3157,hande'sres.
2975,sjoforsakr.
2912,hemm.-ãgare
487,handelsfor.
496,tim.-handl.
746,smaskollar.
1042,dovst.-lar.
3013,regem.-int.
2981,lotsbefalh.
3072,husagaranka
3122,privatsekr.
1156,riksspelman
2956,fabriksarb.
3036,skradd.-idk
3040,f. d. jagm.
2932,angbatsdir.
344,vagnskotare
3021,skogskamrer
2852,ofvermontor
3076,fargareanka
3048,tygforvalt.
268,korkskarare
3019,juris stud.
3128,sjo- kapten
3110,andre sekr.
1145,vagentrepr.
1151,ladug.-karl
3168,oberamtman.
3058,virkeshandl
206,f. d. hush.
1062,haradshovd.
1085,brukstj.-m.
2980,o. hofr.-n.
134,riksb.-dir.
1132,ravgardsag.
250,verkstadsm.
3042,justitierad
221,krigsdomare
273,telefonvakt
359,landst.-man
432,cementslip.
3029,radman m. m
3030,kaffehandl.
3130,kopparslag.
145,stadsvagare
294,mobelritare
484,bruksforman
356,konstexpert
420,mask.-form.
2968,telegrafing
2988,brukspatron
3119,f. dofstums
1019,resinspekt.
3065,sagverksag.
1183,postbitrade
1185,sofiasyster
3149,riksb.-rev.
3069,sagvarksag.
3070,medarbetare
2923,distr.-sekr
3044,distr.-kass
3481,platslagare
2970,flickskolan
3094,kakelugnsm.
3133,faltskarare
2842,frokenskor.
2843,massagedir.
3035,bageriidk:a
3051,f. overjagm
3097,baningenior
254,stat.-bitr.
2879,cementlagg.
3066,folksskoll.
456,telefonarb.
700,expressomb.
3190,dofstumlar.
3166,kontraktpr.
1098,angbatskomm
2933,sagverksfor
3095,motorfabrik
255,metallslip.
147,mosshandl:a
3062,malaremast.
1137,kem.-hand1.
2946,stadsbyggm.
3353,gjuteriarb.
3367,faltintend.
3455,lansgartner
3324,radmansanka
2913,hofra.tsrad
2865,trikaverkm.
326,automatag:a
3506,forradsbokh
193,cykelhandl.
3163,instr.-mak.
2819,slussforman
3443,bankbitrade
3348,kontorschet
612,fabr.-forv.
3415,dratselkamr
3517,angbatskom.
3136,riksdagsman
1364,ravfarmsag.
461,organ.-chef
3468,borgmastare
3421,f.d. forste
165,toffelfabr.
330,linnehandl.
529,overfyring.
3063,skeppsmat.-
501,ofverfaktor
3057,lansjagmast
3188,garfveriidk
2829,fabrikschef
3401,impressario
265,byggn.-arb.
3085,krigskassor
740,sparvagsman
746,gelbgjutare
750,genremalare
3514,uppb.-komm.
3475,kont.-chief
98,begr.-entr.
200,navig.-lar.
169,stadsskogv.
3501,juris kand.
3406,i. d. major
3407,marinkassor
2915,fargeriidk.
3463,maskinmast.
256,fangv.-ass.
3417,f.d. rektor
3402,kronokassor
285,landtm.asp.
3512,f. d. ingen
3509,leg. lakare
2826,skollarsare
3419,kronokamrer
3435,jarnv.-tjm.
3359,kaféinneh:a
3422,vice pastor
3204,emigrantag.
3476,mejeridisp.
3431,materiinsp.
3423,regem.-chef
3372,tobaksfabr.
2910,f. d. parap
3466,semin.-adj.
3507,fiskhandl:a
3524,arsredovisn
2867,prakt. lakk
28,affarsombud
2848,stereotypor
76,regementsv.
2854,hofjagmast.
3208,arbetsform.
2927,angb.-komm.
266,chefportier
274,chark.-arb.
3143,tapethandl.
3152,bankforest.
2823,hofrattsrad
2832,underlakare
3516,ofverstath.
3491,kvartersman
65,golflaggare
2884,gen.-lojtn.
278,garderobier
3164,las.-lakare
7,exek.-betj.
3503,telegrafist
2902,underloitn.
3499,med. O. fil
539,konsthantv.
3384,hand.-ombud
3454,polisdomare
6,faktoriarb.
2908,lanskogvakt
5,stallforman
3146,bildhuggare
2862,hand.-idk:a
3162,ofveriarare
3131,sockermast.
107,angbatschef
3213,dratselforv
3184,f. fanjunk.
2825,res.-lojtn.
2941,f.d. kapten
15,galbgjutare
392,overtryckm.
356,lykttandare
3502,appr.-mast.
3234,hufvudbokf.
3202,branneriktr
49,tivoliagare
2822,lok.-forare
8,laroverksl.
2820,foderhandl.
2853,brandlot n.
3142,cigarrfabr.
3492,tr.-forest.
2834,stathallare
2904,f. auktions
19,smidesforv.
376,lagerforman
3196,landtrantm.
67,kanslibitr.
3461,kammarherre
2888,legationsr.
45,sandlossare
47,packhusarb.
62,monsterrit.
2887,konsulsanka
3211,pol.-radman
369,byggnadsrad
0,marinmalare
2846,konsultchef
2847,slottsforv.
3523,prot.-sekr.
2833,bat.-Jakare
2827,klockare O.
2891,tradg.-dir.
372,telefonrep.
373,tenngjutare
430,overbrandm.
3429,martinmast.
3430,familjefond
2835,maskinagent
141,prambyggare
96,f. d. tunnb
119,handelselev
129,disfutograf
3495,skeppsmast.
2818,byggn.-chef
3449,skolforest.
2903,f.d. kassor
60,musiklojtn.
3140,landsarkiv.
3221,fattigfogde
3185,landskansl.
3444,reger.-rad.
3477,kontrollant
201,ofningslar.
3453,bokbindarem
127,litografist
2889,trafikinsp.
3409,skrittstall
3493,lansnotarie
3428,ang-befalh.
3102,lasar.-lak.
437,brygg.-arb.
2943,kont.-chef.
506,lastbilsag.
530,kakelmakare
3426,stat.-insp.
3478,mejeriagare
2831,f.d. radman
2890,doktorsanka
3498,haradshoing
450,kafeforest.
517,kameralint.
3487,trafiklnsp.
3504,vaningschef
3474,jrv.-kamrer
135,kapptillsk.
164,kvarnidkare
168,banforvalt.
177,rantetagare
501,hovurmakare
3486,landshofda.
3480,ofverlakare
172,buntmakarm.
2940,lansveterin
2872,komminister
3220,kladesfabr.
362,droskforare
2830,kont.-bitr.
271,hemm ansag.
276,fabr.-form.
320,martinform.
306,bundtmakare
313,hemn ansag.
315,major m. m.
1352,mjolkkorare
2944,sadelmakare
202,cigarrarb:a
184,stadsf skal
186,kakelverkm.
187,zinkv.-arb.
196,akademinot.
198,civilradman
206,vice konsul
291,i Tjugestad
179,skomakeriag
2976,bokhandlare
3482,redsk.-fabr
3484,hasthandl.-
527,stand.-adj.
522,slottsvabel
494,biografdir.
200,hosp.-pred.
3379,glasmastare
3447,fabriksdir.
466,museilektor
105,angf.-insp.
117,rorentrepr.
2849,uppbordsman
2898,brukskemist
3471,stadsvaktm.
3473,hofmarskalk
3458,cigarrhandl
3519,spraklarare
552,bilskoleag.
553,lantm.-ing.
556,flygattache
324,sagv.-bokh.
325,ofvervaktm.
3180,1:ste landt
2864,skogvaktare
3399,grosshand].
3441,vedhandlare
3448,annonsagent
489,antikhandl.
3483,ofverlarare
3472,Byggnads- O
1293,reg.-kapten
3451,f. d. prost
3520,"fors.-chef,"
3452,adv.-fiskal
3376,bageriidkka
3489,kamrersanka
644,kyrkovaktm.
3121,bokforlagg.
3113,sjukgymnast
3183,hamnmastare
2977,Mobelhandl.
79,amneslarare
2895,kommunalord
2897,f. d. major
470,byrasekr. O
1285,traullsarb.
399,skrothandl.
371,skogstj.-m.
494,bruksidkare
482,arrend.-son
447,skrotforman
436,sotaremast.
488,vafn. forl.
399,skogsforman
276,garf.-fabr.
65,brandforman
3118,viktualieh.
3195,kontorschef
577,formskarare
543,jarnv.-ing.
357,henn ansag.
368,ofverskogv.
179,renh.-entr.
3077,tekn.-lar:a
3046,musikhandl.
516,tegelbarare
164,kvarnbyggm.
3462,hemmanagare
135,silfverarb.
1382,overelektr.
608,rattsinneh.
612,formanstag.
3171,kommissarie
1328,gruvjordag.
1331,cementfabr.
1332,div.-handi.
1245,bassangvakt
1247,kalkbruksag
2900,spannmalsh.
496,packhuskarl
3223,bokiryckare
454,jarnv.-arb.
2870,statskonsul
2837,"kungl, sekr"
3497,underbryggm
3250,kamm.-skrif
3109,vildthandl.
2878,dekor.-mal.
3508,skomakarem.
39,naturlakare
2881,majeriagare
2925,cementgjut.
3017,f. d. lar:a
2929,marinintend
3515,bataljonsky
226,hovmarskalk
3108,regeringsr.
3247,jarnvagslak
204,telefoning.
2876,kom. kamrer
80,borsnotarie
2937,hand.-bokh.
2874,handelsbokh
407,driftkontr.
3241,assur.-tjm.
3192,spegelfabr.
3101,stadskamrer
768,hamnstyrman
2906,fjardingsm.
3148,1:e stadsl.
461,kolningsf.
415,st. skrif.
420,k. skrifv.
428,possesion.
493,sockenadj.
3824,lifmedicus
377,lok.-mast.
12,smaskoll:a
425,stenh.-ag.
525,mosskradd.
3551,maskining.
499,brannmast.
16,met.-fabr.
27,hissforare
3,vinh.-arb.
221,postforman
3630,handelsag.
3809,sjofarande
83,kassabitr.
4146,t. f. kass
3539,patentomb.
439,gransinsp.
3975,sjukskot:a
3944,hofstallm.
334,vaktkonst.
4199,affarschef
3534,patronessa
3652,landshoing
3782,skeppsred.
556,grufpastor
55,lakarstip.
37,teaterint.
38,mag.-bokh.
656,hemmasnag.
222,maskinarb.
3595,tonsattare
4007,affarsdir.
634,fjard.-man
82,linjemast.
3675,bankkamrer
3992,stadskomm.
3784,brandinsp.
3904,bankokomm.
397,affarsing.
3870,olutkorare
3704,konstuktor
48,pipriktare
9,amneslar:a
486,sulfitarb.
664,stat-insp.
4091,angb.-hafv
649,resemontor
3946,f. d. kons
119,kulturing.
3560,folksko'l.
3847,kronofogde
3,exp.-bitr.
3724,distr.-lak
1133,overlakare
3827,ex. apolek
3829,kvarnagare
52,brygg.-ag.
201,patenting.
3581,e. landtm.
3582,pantlanare
429,past.-adj.
405,fabr.form.
3729,afd.-chef.
3778,batbyggare
3830,Ofverinsp.
438,stadstjan.
3693,f. d. gods
3672,afd.-chief
85,manadskarl
3770,f. d. flag
338,lok.-insp.
319,maskinsmed
274,traf.-chef
257,stat.-karl
243,fyrvaktare
248,skom.-arb.
3813,regm.-lak.
3776,t. f. bygg
3632,kassaforv.
3575,f. mobelh.
22,arbetskarl
495,hofr.-ass.
197,mejeriidk.
3855,haradsskri
450,ladertekn.
451,vagnforman
3834,konstforl.
3806,f. d. trad
3807,etuimakare
3840,kont-.chef
190,privatlar.
172,strykerska
211,driftsing.
262,mejeriarb.
138,arbitragor
152,utrikesrad
128,byggn.-rad
230,raladersh.
3742,kontraktor
3743,med. stud.
193,sparv.-man
3820,kommendant
3679,byggn.-ing
490,rest.-chef
399,gafstgifv.
3746,hofr.-fisk
3763,red.-sekr.
3810,hofpredik.
1121,honseriag.
1059,overskogv.
3583,k. kammarm
3631,f. d. post
20,hamnkamrer
3797,kostymint.
3736,sadelm.-m.
3613,jernhandl.
3703,2:dre dir.
3674,bankkontr.
179,korgmakare
424,kalkylator
412,vagnsmorj.
94,plattsatt.
97,kamm.-not.
3592,landshofd.
3826,grosshandl
3849,chefsfort.
299,sot.-mast.
311,lokputsare
31,teaterarb.
3909,klassorska
366,filarmast.
3854,kronologde
343,kruthandl.
159,manikurist
10,brefbarare
3911,Oberamtman
68,plattlagg.
3832,kostymforv
233,teol. lic.
239,brevbarare
3853,teckningsI
218,skravaruh.
4203,sockerbag.
3609,poliskomm.
3568,diakonissa
3837,studerande
246,lumphandl.
391,rep.-form.
129,chark.-arb
715,ofverfogde
143,hovr.-ass.
3872,bankvaktm.
3732,bag.-fabr.
56,hissmontor
3851,sjomanshus
457,raknebitr.
3593,f. d. kall
3716,snick.-idk
934,maskinvakt
959,matareavl.
3615,hotr.-rad.
3714,forest. V.
3573,forstmast.
3691,skomak.-m.
164,cementarb.
169,mureriarb.
398,stalprofv.
3648,handl. Kl.
26,inkopschef
3596,tullvaktm.
72,musikserg.
3841,exp.-skog.
3825,riksdagsm.
4178,mobelagent
3606,skogsforv.
3607,kont.-skr.
4201,maltfabrik
3817,telegrafk.
3881,glashandl.
3745,inspektris
467,ledningsm.
393,prov.-tak.
2,gjut.-ing.
3658,folkskoll.
3546,f. rattare
3694,hufvudred.
4193,kaféidkare
3642,ofververkm
480,grufexpert
187,exportchef
91,tax.-komm.
116,forgyllare
889,cem.-lagg.
184,radhusskr.
3665,f. d. tull
136,hovr.-not.
3644,viceamiral
3789,gen.-kons.
3578,maskindir.
3556,underlojtn
3910,tobakshand
434,stickmast.
421,kom.-kamr.
376,hand.-res.
58,komm.-arb.
106,tills.-man
3843,varfsagare
3828,hofmastare
3612,intendents
845,farglagare
4023,gastgivare
4040,brandlotn.
3721,lagermast.
3712,vagforest.
3702,f. d. mask
3647,f. d. bygg
3866,skomakarm.
178,formedlare
3623,vagnmakarm
3651,1:ste int.
440,gen.-sekr.
3671,bildhugg:a
3673,jarnv.-dir
3662,sifferrev.
3681,landtbr.-e
3874,droskagare
3861,tekn. chef
3862,jur. stud.
4041,prostmast.
4075,laderfabr.
4067,f.d. brygg
3589,ritbitrade
3762,Fajansfabr
3610,yrkesinsp.
3627,mobelhandl
4182,bryggeriag
3680,konsormare
101,borrforman
3800,stadsmaki.
3786,frukthandl
367,hand-bitr.
141,renh.-arb.
819,hovslagare
830,vassrorare
3594,masklndir.
4017,f. d. spar
806,overforman
771,kvarnform.
4097,veterinar.
4080,grundlagg.
4081,1:e verkm.
4066,polissekr.
3677,f.d. handl
101,brandmast.
3696,f. laderh.
247,bangardsm.
219,rest.-dir.
3816,1:ste sekr
3706,jarnv.-bok
3720,f.d. prof.
787,cykelhandl
791,tekn. led.
83,lotskassor
101,arkivaman.
61,urm.-bitr.
159,hamnservis
359,partisekr.
390,stentryck.
3880,hatabrikor
3663,restaurat.
342,expressag.
362,chefsinsp.
3884,mjolkhandl
4014,ofverjagm.
4015,styckjunk.
4185,underfogde
3585,biogr.-ag.
3915,arrendator
3629,f. kammarr
3661,handelslar
730,gjuteriing
4166,f.d. fabr.
4154,fosfassist
388,biljardag.
3603,hofmusikh.
428,driftschef
523,fyrmastare
524,betrattare
4013,dispaschor
3699,dessinator
3688,hattmakare
253,insp.-ass.
3968,hofr.-rad.
332,kvarnbygg.
4032,mobelfabr.
4074,hofr.-sekr
4165,mejeridisp
4147,driftinsp.
4121,f.d. major
3926,parkforest
4076,hofskradd.
4044,exp.-sekr.
3577,riksb.-bok
3668,musikforl.
3669,skraddarem
7,mossmakare
14,sagriktare
0,smedsform.
3965,skomakarem
3966,jarnkramh.
3950,packforman
3951,linjebyggm
4101,slojdskole
3591,korghandl.
4,uppfinnare
3990,damskradd.
4062,smidesarb.
4063,stadskamr.
584,chark.-ag.
59,borstbind.
48,maskinexp.
3967,konststud.
3901,bageridk:a
3641,v. kon-sul
3579,smidesmast
4033,hotellvard
4215,cuilkontr.
4090,vafmastare
3590,"dir., e. o"
3984,f. d. borg
4018,f. d. stud
4035,angb.-exp.
4083,platsombud
3927,slussmast.
208,sjoofficer
278,hem.-agare
281,affarsled.
4106,bag.-firma
4141,mal.-mast.
4060,riksb.-tjm
4202,prot.-not.
19,1:ste reg.
4084,hemmansag.
6,fackskoll.
665,banktj.man
4021,snormakare
3907,hofkonsth.
3876,f. d. komm
633,stiftsnot.
584,stenstott.
4010,maleriidk.
3892,pianofabr.
4171,rev.-komm.
3897,glasmalare
3931,slakterem.
3932,f. d. oper
4093,cigarrfabr
4094,pianolar:a
3974,fiskhandl.
3973,larov.-ad.
4136,fabriksid.
654,stiftsekr.
688,vitgarvare
4061,ofverakare
4005,fondhandl.
4006,jur. kand.
3614,trafikchef
3963,tele-fabr.
3896,pistolsmed
3908,trafikchet
4118,fors.-dir.
3890,brandfogde
545,kyrkvaktm.
3925,handskmak.
4088,e. jagmast
274,landeriag.
254,bered.-man
4098,hemmansbr.
4128,hem mansag
4092,jarnv.-lak
3916,horr.-not.
4089,hofrattsn.
4117,kons.-ing.
3954,landskont.
3939,stadsfisk.
4113,f. d. prot
4126,hofintend.
4119,gen.-agent
4134,postexped.
4135,repslagare
3645,kanslisekr
3735,tidningsm.
3684,a.-forest.
630,hypnotisor
195,hofsadelm.
629,konstfyrv.
304,lexikograf
344,signaling.
611,mej.-kons.
3537,f. bruksag
4140,snickarem.
3956,lagerschéf
4179,lotsforman
4148,tryckmast.
4022,stadsmakl.
429,omnibussag
13,detektivk.
833,bruksbokh.
4020,fabriksag.
3744,landssekr.
3929,aeln.-chef
4099,t. f. fisk
4151,kamm.-skr.
4168,fargeriidk
3660,prakt. lak
3576,f. d. kass
4112,antikvarie
558,maskinrep.
567,linjeform.
575,tvattmast.
3640,verkstader
4114,gjuteriidk
446,overfaktor
3726,lansgrefve
142,landsfogde
4111,f. d. kart
3989,slussinsp.
4163,faltlakare
3544,fabr.-idk.
3545,stat.-insp
4109,toffelmak.
580,kafferost.
554,varvsdisp.
4205,cirkusdir.
3934,lagerbokh.
589,mask.-mast
3993,tullfiskal
3978,arbetschef
68,musikbibl.
4200,generalag.
4125,kontrollor
349,bilsadelm.
362,sekt.-ing.
363,polisinsp.
3617,bleckmast.
158,evangelist
130,rederitjm.
133,fiskmangl.
191,skolkassor
109,slussbetj.
4149,ombudsm. m
4150,komm.-adj.
672,skogsmast.
114,manadskarı
319,samskoll:a
373,bageridir.
315,ridhusdir.
4142,f.d. lansv
4054,kvarnmast.
4055,apot.-anka
4172,larov.-adj
123,rorlaggare
132,musikstud.
142,zinketsare
3987,forfattare
3988,tratikchef
127,fodermarsk
157,fiolmakare
4047,elektriker
4064,smedsmast.
4152,ofv.-insp.
4211,fil. kand.
4120,1:elandtm.
3705,f.d. juvel
646,kar.-insp.
3563,kon- ditor
4030,farghandi.
4031,gen.-major
206,biografdir
4002,folkskoil.
4019,orgelbygg.
382,textiling.
4131,jarnhand'.
3991,2:dre sekr
3937,troskverks
3659,kronobokh.
3879,telegrair.
3626,stadsfogde
109,uppb.-ass.
4162,arkebiskop
